SoftwareName,Version,Publisher,InstallPath,InstallDate,LastModifiedDate,AppStartTime,ScanSource,DetectedLicenseType,LicenseName,ConfidenceLevel,IsVerified,EvidenceCount,Notes,PluginId,ScannedAtUtc
"AntiCheatExpert","28.0.2604.938","Unknown Publisher","C:\Program Files\AntiCheatExpert","","2026/06/08 01:59:03 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Proprietary Anti-Cheat / Security Driver EULA","Verified","True",1,"Verifies system integrity enforcement drivers and anti-tamper security platforms.","std.security.anticheat","2026/07/16 16:43:32 VN Time (UTC+7)"
"Armoury Crate Service","6.5.7.0","ASUSTeK COMPUTER INC.","","2025/12/14","","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Hardware Companion / OEM Bundled Software License","Medium","False",1,"Identifies motherboard, RGB lighting, peripheral control, and desktop utilities.","std.hardware.oem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Docker Desktop","4.66.0","Docker Inc.","C:\Program Files\Docker\Docker","","2026/03/24 10:44:05 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Docker Desktop Commercial / Subscription License","High","True",1,"Verified via local Docker resources LICENSE file checks.","std.docker.desktop","2026/07/16 16:43:32 VN Time (UTC+7)"
"Docker Desktop","4.66.0","Docker Inc.","C:\Program Files\Docker\Docker","","2026/03/24 10:44:05 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","OpenSource","Open Source License (Heuristic)","Medium","False",1,"Evaluated via open source artifact and keyword matching. Verified: False.","std.opensource.artifact","2026/07/16 16:43:32 VN Time (UTC+7)"
"Git","2.54.0","The Git Development Community","C:\Program Files\Git\","2026/06/05","2026/04/20 10:51:22 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","OpenSource","GNU General Public License (GPL)","Verified","True",1,"Verified via Git distribution directory COPYING/LICENSE.txt checks.","std.git.opensource","2026/07/16 16:43:32 VN Time (UTC+7)"
"Git","2.54.0","The Git Development Community","C:\Program Files\Git\","2026/06/05","2026/04/20 10:51:22 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","OpenSource","GNU General Public License (GPL)","Verified","True",1,"Evaluated via open source artifact and keyword matching. Verified: True.","std.opensource.artifact","2026/07/16 16:43:32 VN Time (UTC+7)"
"GDR 1170 for SQL Server 2022 (KB5077465) (64-bit)","16.0.1170.5","Microsoft Corporation","","2026/04/18","","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Microsoft SQL Server Commercial License","Medium","False",1,"Verified via SQL Server engine binary presence and edition naming.","std.microsoft.sqlserver","2026/07/16 16:43:32 VN Time (UTC+7)"
"GDR 1175 for SQL Server 2022 (KB5084815) (64-bit)","16.0.1175.1","Microsoft Corporation","","2026/05/14","","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Microsoft SQL Server Commercial License","Medium","False",1,"Verified via SQL Server engine binary presence and edition naming.","std.microsoft.sqlserver","2026/07/16 16:43:32 VN Time (UTC+7)"
"GDR 1180 for SQL Server 2022 (KB5091158) (64-bit)","16.0.1180.1","Microsoft Corporation","","2026/05/16","","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Microsoft SQL Server Commercial License","Medium","False",1,"Verified via SQL Server engine binary presence and edition naming.","std.microsoft.sqlserver","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft SQL Server 2022 (64-bit)","Unknown","Microsoft Corporation","","","","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Microsoft SQL Server Commercial License","Medium","False",1,"Verified via SQL Server engine binary presence and edition naming.","std.microsoft.sqlserver","2026/07/16 16:43:32 VN Time (UTC+7)"
